,0
0,1
1,1
2,1
3,1
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,1
16,1
17,1
18,3
19,3
20,3
21,3
22,1
23,1
24,1
25,1
26,2
27,1
28,2
29,1
30,1
31,1
32,2
33,1
34,2
35,1
36,2
37,1
38,1
39,2
40,2
41,1
42,2
43,1
44,2
45,1
46,3
47,3
48,3
49,3
50,1
51,1
52,2
53,2
54,4
55,2
56,2
57,2
58,4
59,4
60,2
61,2
62,4
63,2
64,3
65,3
66,3
67,3
68,4
69,2
70,4
71,2
72,2
73,2
74,2
75,3
76,1
77,3
78,3
79,3
80,1
81,2
82,2
83,2
84,1
85,2
86,1
87,1
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,1
97,2
98,2
99,3
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,2
108,1
109,1
110,2
111,1
112,1
113,2
114,1
115,1
116,2
117,3
118,3
119,3
120,3
121,1
122,3
123,3
124,2
125,1
126,2
127,3
128,3
129,3
130,3
131,2
132,2
133,3
134,3
135,3
136,3
137,3
138,2
139,1
140,1
141,2
142,2
143,3
144,3
145,2
146,2
147,2
148,3
149,3
150,2
151,2
152,4
153,4
154,2
155,2
156,2
157,4
158,2
159,4
160,4
161,2
162,2
163,4
164,1
165,1
166,3
167,3
168,1
169,1
170,1
171,2
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,1
185,2
186,2
187,1
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,3
204,2
205,2
206,2
207,2
208,2
209,2
210,4
211,2
212,4
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,4
250,3
251,3
252,4
253,3
254,2
255,2
256,2
257,2
258,3
259,4
260,3
261,3
262,3
263,3
264,4
265,1
266,2
267,2
268,3
269,3
270,3
271,3
272,3
273,3
274,4
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,1
293,1
294,1
295,2
296,2
297,1
298,2
299,2
300,2
301,2
302,2
303,2
304,1
305,2
306,2
307,1
308,2
309,3
310,3
311,2
312,2
313,1
314,1
315,1
316,2
317,2
318,3
319,3
320,4
321,4
322,4
323,4
324,4
325,4
326,3
327,3
328,4
329,4
330,2
331,4
332,3
333,1
334,3
335,3
336,4
337,4
338,3
339,3
340,1
341,3
342,4
343,3
344,3
345,3
346,3
347,4
348,4
349,3
350,1
351,3
352,4
353,1
354,1
355,2
356,2
357,1
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,4
374,1
375,1
376,1
377,1
378,1
379,1
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,2
424,1
425,1
426,2
427,2
428,1
429,2
430,2
431,2
432,2
433,2
434,1
435,1
436,3
437,3
438,3
439,3
440,3
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,3
449,3
450,3
451,3
452,1
453,1
454,1
455,1
456,1
457,1
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,3
482,3
483,3
484,3
485,3
486,3
487,4
488,3
489,3
490,3
491,2
492,2
493,3
494,3
495,3
496,2
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,1
513,1
514,1
515,1
516,1
517,3
518,3
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,2
528,2
529,2
530,2
531,2
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,2
546,2
547,2
548,2
549,3
550,3
551,3
552,3
553,1
554,1
555,1
556,3
557,3
558,4
559,3
560,3
561,3
562,3
563,1
564,1
565,2
566,2
567,1
568,1
569,1
570,3
571,3
572,3
573,3
574,3
575,3
576,2
577,2
578,2
579,3
580,3
581,2
582,2
583,2
584,2
585,1
586,2
587,2
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,2
596,2
597,2
598,4
599,3
600,3
601,4
602,4
603,2
604,1
605,3
606,3
607,4
608,4
609,2
610,2
611,2
612,1
613,3
614,2
615,2
616,2
617,2
618,4
619,4
620,3
621,3
622,4
623,4
624,4
625,4
626,1
627,1
628,4
629,4
630,4
631,2
632,4
633,4
634,2
635,2
636,4
637,2
638,4
639,3
640,3
641,2
642,4
643,4
644,2
645,2
646,4
647,4
648,3
649,3
650,2
651,1
652,1
653,1
654,2
655,2
656,4
657,4
658,4
659,4
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,4
668,4
669,4
670,4
671,4
672,4
673,4
674,4
675,2
676,2
677,4
678,4
679,4
680,4
681,2
682,2
683,2
684,1
685,1
686,1
687,2
688,2
689,2
690,2
691,2
692,2
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,2
702,2
703,2
704,2
705,1
706,2
707,2
708,2
709,2
710,1
711,1
712,1
713,1
714,1
715,1
716,3
717,4
718,3
719,4
720,1
721,3
722,4
723,4
724,3
725,4
726,4
727,4
728,4
729,4
730,4
731,2
732,1
733,1
734,2
735,4
736,3
737,1
738,1
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,2
749,2
750,2
751,2
752,1
753,2
754,1
755,3
756,3
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,1
765,2
766,1
767,1
768,2
769,3
770,3
771,2
772,2
773,2
774,2
775,2
776,2
777,1
778,1
779,1
780,1
781,2
782,2
783,2
784,2
785,1
786,1
787,1
788,1
789,2
790,2
791,1
792,2
793,2
794,2
795,2
796,2
797,1
798,1
799,1
800,2
801,1
802,2
803,2
804,2
805,1
806,2
807,1
808,2
809,1
810,2
811,1
812,1
