,0
0,1
1,1
2,1
3,1
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,1
19,1
20,1
21,1
22,1
23,3
24,3
25,1
26,1
27,1
28,2
29,2
30,1
31,2
32,1
33,1
34,1
35,1
36,2
37,1
38,1
39,2
40,1
41,1
42,2
43,2
44,1
45,1
46,2
47,1
48,2
49,2
50,3
51,3
52,3
53,3
54,1
55,2
56,2
57,2
58,2
59,2
60,4
61,2
62,2
63,2
64,3
65,3
66,3
67,4
68,2
69,4
70,2
71,2
72,2
73,2
74,2
75,3
76,3
77,3
78,3
79,3
80,2
81,2
82,2
83,1
84,1
85,2
86,1
87,1
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,3
100,2
101,2
102,2
103,2
104,3
105,3
106,2
107,1
108,1
109,1
110,2
111,2
112,2
113,1
114,2
115,2
116,1
117,1
118,2
119,3
120,3
121,3
122,3
123,1
124,3
125,3
126,3
127,2
128,1
129,2
130,3
131,3
132,3
133,3
134,2
135,2
136,3
137,3
138,3
139,3
140,2
141,1
142,1
143,2
144,2
145,3
146,3
147,3
148,2
149,2
150,2
151,3
152,3
153,3
154,2
155,2
156,2
157,2
158,2
159,4
160,2
161,4
162,2
163,2
164,1
165,3
166,1
167,1
168,1
169,1
170,1
171,1
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,2
187,1
188,2
189,2
190,1
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,3
207,2
208,2
209,2
210,2
211,2
212,2
213,4
214,2
215,4
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,3
251,3
252,3
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,3
262,4
263,3
264,3
265,3
266,3
267,3
268,4
269,4
270,4
271,1
272,2
273,2
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,1
288,1
289,2
290,2
291,1
292,2
293,2
294,2
295,2
296,2
297,2
298,1
299,2
300,2
301,2
302,2
303,3
304,3
305,3
306,3
307,3
308,2
309,2
310,1
311,1
312,1
313,2
314,2
315,2
316,3
317,3
318,4
319,4
320,3
321,3
322,3
323,2
324,4
325,3
326,1
327,3
328,3
329,4
330,3
331,3
332,1
333,3
334,4
335,3
336,3
337,3
338,4
339,3
340,3
341,1
342,1
343,2
344,2
345,1
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,4
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,2
411,1
412,1
413,2
414,2
415,1
416,2
417,2
418,2
419,2
420,2
421,1
422,1
423,3
424,3
425,3
426,3
427,3
428,1
429,1
430,1
431,1
432,1
433,3
434,3
435,3
436,3
437,1
438,1
439,1
440,1
441,1
442,1
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,3
468,3
469,3
470,3
471,3
472,4
473,3
474,2
475,2
476,3
477,3
478,3
479,2
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,1
493,1
494,1
495,1
496,1
497,3
498,3
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,2
512,2
513,2
514,2
515,2
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,2
528,2
529,2
530,2
531,3
532,3
533,3
534,3
535,3
536,3
537,1
538,3
539,3
540,4
541,3
542,3
543,3
544,3
545,1
546,1
547,1
548,2
549,2
550,1
551,1
552,1
553,1
554,1
555,3
556,3
557,3
558,3
559,3
560,2
561,2
562,2
563,3
564,3
565,3
566,3
567,2
568,2
569,2
570,2
571,2
572,2
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,2
584,2
585,3
586,4
587,4
588,2
589,1
590,3
591,3
592,4
593,2
594,2
595,2
596,1
597,3
598,2
599,2
600,2
601,2
602,4
603,3
604,3
605,3
606,4
607,4
608,4
609,4
610,1
611,1
612,1
613,4
614,2
615,4
616,2
617,2
618,2
619,3
620,3
621,3
622,2
623,2
624,2
625,4
626,4
627,3
628,3
629,2
630,1
631,1
632,2
633,4
634,4
635,4
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,4
645,4
646,4
647,4
648,4
649,2
650,2
651,2
652,4
653,4
654,2
655,2
656,2
657,1
658,1
659,1
660,1
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,2
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,2
681,2
682,2
683,1
684,1
685,2
686,2
687,2
688,1
689,1
690,1
691,1
692,1
693,1
694,3
695,3
696,3
697,3
698,1
699,3
700,3
701,4
702,2
703,1
704,1
705,4
706,3
707,1
708,1
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,1
722,2
723,1
724,3
725,3
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,2
734,2
735,1
736,2
737,1
738,1
739,1
740,2
741,2
742,1
743,3
744,1
745,3
746,2
747,2
748,3
749,1
750,3
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,1
760,1
761,2
762,2
763,2
764,1
765,1
766,1
767,1
768,1
769,1
770,2
771,2
772,2
773,2
774,2
775,2
776,1
777,1
778,2
779,1
780,2
781,2
782,2
783,2
784,1
785,2
786,1
787,2
788,2
789,1
790,2
791,1
792,1
793,2
794,2
795,2
796,1
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,2
809,2
810,2
811,2
812,2
